No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
23,Magic UI,Meteors for hero background,Use Meteors for meteor shower background effect,Meteors for hero sections,Static background,<Meteors number={20}>,<div className="bg-gradient"></div>,Low,https://videofly.com/docs/spec
24,Magic UI,Marquee for scrolling content,Use Marquee for infinite scrolling content,Marquee for testimonials logos,Custom marquee,<Marquee><Logo /><Logo /></Marquee>,Custom CSS animation,Low,https://videofly.com/docs/spec
25,Magic UI,GridPattern for backgrounds,Use GridPattern DotPattern for subtle backgrounds,Pattern components for section backgrounds,Solid color backgrounds,<GridPattern/>,<div className="bg-gray-100"></div>,Low,https://videofly.com/docs/spec
26,Animate UI,CountingNumber for stats,Use CountingNumber for animated counting numbers,CountingNumber for statistics metrics,Static number display,<CountingNumber value={1234}/>,1234,Low,https://videofly.com/docs/spec
27,Animate UI,Writing for text animation,Use Writing for word-by-word writing animation,Writing for hero taglines,TypingAnimation for everything,<Writing>AI generates video</Writing>,<TypingAnimation>AI generates video</TypingAnimation>,Low,https://videofly.com/docs/spec
28,Animate UI,Typing for code/typing,Use Typing for typing animation with cursor,Typing for code snippets terminal,Writing for code,<Typing>npm install videofly</Typing>,<TypingAnimation>npm install videofly</TypingAnimation>,Low,https://videofly.com/docs/spec
29,Forms,Use react-hook-form with Form,VideoFly uses Form component with react-hook-form,Form + FormField + useForm pattern,Custom form state,<Form {...form}><FormField control={form.control}>,<form onSubmit={handleSubmit}>,High,https://videofly.com/docs/spec
30,Forms,Use Zod for validation,VideoFly uses Zod for form validation,zodResolver with form schema,Manual validation,zodResolver(schema),validate: (v) => { if (!v.email) return error },Medium,https://videofly.com/docs/spec
31,Icons,Use Lucide React icons,VideoFly uses Lucide React for all icons,Import from lucide-react for icons,Other icon libraries or emojis,import { Play } from "lucide-react",<Play /> or emoji ▶,High,https://lucide.dev
32,Theming,Use CSS variables for colors,VideoFly uses CSS variables for theming,Use bg-primary text-primary-foreground,Hardcoded color values,bg-primary text-primary-foreground,bg-blue-500 text-white,High,https://videofly.com/docs/spec
33,Theming,Support dark mode,VideoFly has full dark mode support,Use dark: prefix for dark mode styles,Light mode only,className="dark:bg-gray-900",className="bg-white",High,https://videofly.com/docs/spec
34,Performance,Use Server Components by default,VideoFly prioritizes Server Components,Keep components server by default,Add 'use client' to everything,export default function Page(),('use client') for static content,High,https://nextjs.org/docs/app/rendering/server-components
35,Performance,Push Client Components down,Keep Client Components as leaf nodes,Client wrapper for interactive parts only,Mark page as Client Component,<InteractiveButton/> in Server Page,('use client') on page.tsx,High,https://nextjs.org/docs/app/rendering/client-components
36,Performance,Use next/image for images,VideoFly uses Next.js Image component,<Image> for all images,<img> tags directly,<Image src={} alt={} width={} height={}>,<img src={}/>,High,https://nextjs.org/docs/app/optimizing/images
37,Performance,Dynamic import heavy components,Use next/dynamic for code splitting,dynamic() for heavy components,Import everything statically,const Chart = dynamic(() => import('./Chart')),import Chart from './Chart',Medium,https://nextjs.org/docs/app/optimizing/lazy-loading
38,A11y,Use semantic HTML,VideoFly uses semantic HTML elements,Use proper HTML5 elements,Divs for everything,<header><main><section><article>,<div className="header"><div className="main">,High,https://www.w3.org/WAI/tutorials/page-structure/
39,A11y,Add aria-labels to icon buttons,VideoFly requires aria-label for icon-only buttons,aria-label on icon-only buttons,Missing aria-label,<Button aria-label="Close"><X /></Button>,<Button><X /></Button>,High,https://www.w3.org/WAI/ARIA/apg/
40,A11y,Use alt text for images,VideoFly requires descriptive alt text,alt text with meaningful description,Missing alt or empty alt,<Image src={video} alt="AI generated video of..."/>,<Image src={video} alt=""/>,High,https://www.w3.org/WAI/tutorials/images/
41,Routing,Use App Router file structure,VideoFly uses app/ directory structure,page.tsx for routes layout.tsx for layouts,Custom routing,app/[lang]/demo/page.tsx,Custom router config,High,https://nextjs.org/docs/app/building-your-application/routing
42,Routing,Use i18n with [lang] segments,VideoFly supports multi-language via [lang] route,app/[lang]/ for language routing,Hardcoded single language,app/en/demo/page.tsx app/ja/demo/page.tsx,app/demo/page.tsx only,Medium,https://videofly.com/docs/i18n
43,API,Use Route Handlers for API,VideoFly uses app/api/ for API endpoints,app/api/v1/... for API routes,Custom API setup,app/api/v1/video/generate/route.ts,Custom API server,High,https://nextjs.org/docs/app/building-your-application/routing/route-handlers
44,API,Return proper Response objects,VideoFly API routes use NextResponse,NextResponse.json() for JSON,Plain objects or res.json(),return NextResponse.json({ data }),return { data },Medium,https://nextjs.org/docs/app/routing/route-handlers
45,State,Use useState for local state,VideoFly uses React useState for local component state,useState for component state,External state for local state,const [count setCount] = useState(0),useReduxState for local state,High,https://react.dev/reference/react/useState
46,State,Use useReducer for complex state,VideoFly uses useReducer for complex state logic,useReducer for related state,Multiple useState,useReducer(reducer initialState),const [a setA] = useState(); const [b setB] = useState(),Medium,https://react.dev/reference/react/useReducer
47,Database,Use Kysely for queries,VideoFly uses Kysely type-safe SQL builder,db.selectFrom().where(),Raw SQL queries,db.selectFrom('videos').where('status', '=', 'generating').selectAll(),db.query('SELECT * FROM videos WHERE status = ?', ['generating']),High,https://kysely.dev
48,Database,Use prepared statements,VideoFly requires Kysely prepared statements for safety,Kysely query builder for all queries,String interpolation,db.selectFrom('users').where('id', '=', id),`SELECT * FROM users WHERE id = ${id}`,High,https://kysely.dev
49,Auth,Use Better Auth,VideoFly uses Better Auth for authentication,Better Auth session management,Custom auth,authClient.getSession(),Custom session handling,High,https://better-auth.com
50,Video,Use VideoGeneratorInput component,VideoFly has reusable VideoGeneratorInput component,Import VideoGeneratorInput for video forms,Build new form every time,<VideoGeneratorInput />,Custom form with inputs,High,https://videofly.com/docs/spec
51,Video,Use VideoStatusCard for status,VideoFly has VideoStatusCard for generation status,VideoStatusCard for progress display,Custom status card,<VideoStatusCard video={video}/>,Custom progress UI,High,https://videofly.com/docs/spec
52,Video,Use VideoCard for display,VideoFly has VideoCard for video thumbnails,VideoCard for video lists,Custom video card,<VideoCard video={video}/>,Custom card with thumbnail,High,https://videofly.com/docs/spec
53,Video,Use toast for video actions,VideoFly uses toast for video feedback,toast.success/error for video operations,Alert or custom feedback,toast.success("Video generated!"),alert("Success"),Medium,https://videofly.com/docs/spec
54,Credit,Display credit balance,VideoFly shows credit balance prominently,CountingNumber for balance display,Static number,<CountingNumber value={credits}/>,Credits: {credits},Medium,https://videofly.com/docs/spec
55,Pricing,Use CreemPricing component,VideoFly has CreemPricing for pricing pages,Import CreemPricing for pricing,Custom pricing UI,<CreemPricing />,Custom pricing cards,Medium,https://videofly.com/docs/spec
